Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.39,2.92,3.9318,4.41,4.5325,4.29,4.2,3.99,3.68,3.24,2.69,2.26
Water requirement (mm/day),0.956,1.168,1.57272,1.764,1.813,1.716,1.68,1.596,1.472,1.296,1.076,0.904
Water requirement litres/day/ha ,9560,11680,15727.2,17640,18130,17160,16800,15960,14720,12960,10760,9040
Water requirement litres/palm/day in an ha,66.85315,81.67832,109.9804,123.3566,126.7832,120,117.4825,111.6084,102.9371,90.62937,75.24476,63.21678
Water requirement litres/palm/day in an ha at 70% field capacity,46.7972,57.17483,76.98629,86.34965,88.74825,84,82.23776,78.12587,72.05594,63.44056,52.67133,44.25175
