Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.07,2.58,3.67,4.27,4.6,4.64,4.47,4.23,3.78,3.25,2.58,2.01
Water requirement (mm/day),0.828,1.032,1.468,1.708,1.84,1.856,1.788,1.692,1.512,1.3,1.032,0.804
Water requirement litres/day/ha ,8280,10320,14680,17080,18400,18560,17880,16920,15120,13000,10320,8040
Water requirement litres/palm/day in an ha,57.9021,72.16783,102.6573,119.4406,128.6713,129.7902,125.035,118.3217,105.7343,90.90909,72.16783,56.22378
Water requirement litres/palm/day in an ha at 70% field capacity,40.53147,50.51748,71.86014,83.60839,90.06993,90.85315,87.52448,82.82517,74.01399,63.63636,50.51748,39.35664
