Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.69,4.5,5.53,6.19,6.55,5.9,5.16,4.87,4.67,4.18,3.61,3.38
Water requirement (mm/day),1.476,1.8,2.212,2.476,2.62,2.36,2.064,1.948,1.868,1.672,1.444,1.352
Water requirement litres/day/ha ,14760,18000,22120,24760,26200,23600,20640,19480,18680,16720,14440,13520
Water requirement litres/palm/day in an ha,103.2167832,125.8741259,154.6853147,173.1468531,183.2167832,165.034965,144.3356643,136.2237762,130.6293706,116.9230769,100.979021,94.54545455
Water requirement litres/palm/day in an ha at 70% field capacity,72.25174825,88.11188811,108.2797203,121.2027972,128.2517483,115.5244755,101.034965,95.35664336,91.44055944,81.84615385,70.68531469,66.18181818
