Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.3,4.12,5.55,6.83,7.423,6.24,4.59,4.16,4.17,4.12,3.58,3.13
Water requirement (mm/day),1.32,1.648,2.22,2.732,2.9692,2.496,1.836,1.664,1.668,1.648,1.432,1.252
Water requirement litres/day/ha ,13200,16480,22200,27320,29692,24960,18360,16640,16680,16480,14320,12520
Water requirement litres/palm/day in an ha,92.30769,115.2448,155.2448,191.049,207.6364,174.5455,128.3916,116.3636,116.6434,115.2448,100.1399,87.55245
Water requirement litres/palm/day in an ha at 70% field capacity,64.61538,80.67133,108.6713,133.7343,145.3455,122.1818,89.87413,81.45455,81.65035,80.67133,70.0979,61.28671
