Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.54,4.23,5.24,5.8,5.78,5.1,4.29,3.99,4.27,4.66,4.01,3.46
Water requirement (mm/day),1.416,1.692,2.096,2.32,2.312,2.04,1.716,1.596,1.708,1.864,1.604,1.384
Water requirement litres/day/ha ,14160,16920,20960,23200,23120,20400,17160,15960,17080,18640,16040,13840
Water requirement litres/palm/day in an ha,99.02098,118.3217,146.5734,162.2378,161.6783,142.6573,120,111.6084,119.4406,130.3497,112.1678,96.78322
Water requirement litres/palm/day in an ha at 70% field capacity,69.31469,82.82517,102.6014,113.5664,113.1748,99.86014,84,78.12587,83.60839,91.24476,78.51748,67.74825
