Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.27,4.1,5.5423,6.84,7.38,6.21,4.66,4.24,4.22,4.05,3.52,3.11
Water requirement (mm/day),1.308,1.64,2.21692,2.736,2.952,2.484,1.864,1.696,1.688,1.62,1.408,1.244
Water requirement litres/day/ha ,13080,16400,22169.2,27360,29520,24840,18640,16960,16880,16200,14080,12440
Water requirement litres/palm/day in an ha,91.46853,114.6853,155.0294,191.3287,206.4336,173.7063,130.3497,118.6014,118.042,113.2867,98.46154,86.99301
Water requirement litres/palm/day in an ha at 70% field capacity,64.02797,80.27972,108.5206,133.9301,144.5035,121.5944,91.24476,83.02098,82.62937,79.3007,68.92308,60.8951
