Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,4.02,4.9,6.02,6.66,6.72,5.44,4.67,4.58,4.61,4.3,3.85,3.66
Water requirement (mm/day),1.608,1.96,2.408,2.664,2.688,2.176,1.868,1.832,1.844,1.72,1.54,1.464
Water requirement litres/day/ha ,16080,19600,24080,26640,26880,21760,18680,18320,18440,17200,15400,14640
Water requirement litres/palm/day in an ha,112.4476,137.0629,168.3916,186.2937,187.972,152.1678,130.6294,128.1119,128.951,120.2797,107.6923,102.3776
Water requirement litres/palm/day in an ha at 70% field capacity,78.71329,95.94406,117.8741,130.4056,131.5804,106.5175,91.44056,89.67832,90.26573,84.1958,75.38462,71.66434
