Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.14,2.46,2.78,3.11,3.1423,3,2.48,2.27,2.26,2.23,2.34,2.38
Water requirement (mm/day),1.256,0.984,1.112,1.244,1.25692,1.2,0.992,0.908,0.904,0.892,0.936,0.952
Water requirement litres/day/ha ,12560,9840,11120,12440,12569.2,12000,9920,9080,9040,8920,9360,9520
Water requirement litres/palm/day in an ha,87.83217,68.81119,77.76224,86.99301,87.8965,83.91608,69.37063,63.4965,63.21678,62.37762,65.45455,66.57343
Water requirement litres/palm/day in an ha at 70% field capacity,61.48252,48.16783,54.43357,60.8951,61.52755,58.74126,48.55944,44.44755,44.25175,43.66434,45.81818,46.6014
