Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.53,3.11,4.25,4.68,4.8,4.59,4.52,4.3,3.9,3.43,2.86,2.38
Water requirement (mm/day),1.012,1.244,1.7,1.872,1.92,1.836,1.808,1.72,1.56,1.372,1.144,0.952
Water requirement litres/day/ha ,10120,12440,17000,18720,19200,18360,18080,17200,15600,13720,11440,9520
Water requirement litres/palm/day in an ha,70.76923,86.99301,118.8811,130.9091,134.2657,128.3916,126.4336,120.2797,109.0909,95.94406,80,66.57343
Water requirement litres/palm/day in an ha at 70% field capacity,49.53846,60.8951,83.21678,91.63636,93.98601,89.87413,88.5035,84.1958,76.36364,67.16084,56,46.6014
