Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.53,4.3,5.37,6.05,6.4228,5.64,4.55,4.28,4.24,4.02,3.57,3.3
Water requirement (mm/day),1.412,1.72,2.148,2.42,2.56912,2.256,1.82,1.712,1.696,1.608,1.428,1.32
Water requirement litres/day/ha ,14120,17200,21480,24200,25691.2,22560,18200,17120,16960,16080,14280,13200
Water requirement litres/palm/day in an ha,98.74126,120.2797,150.2098,169.2308,179.6587,157.7622,127.2727,119.7203,118.6014,112.4476,99.86014,92.30769
Water requirement litres/palm/day in an ha at 70% field capacity,69.11888,84.1958,105.1469,118.4615,125.7611,110.4336,89.09091,83.8042,83.02098,78.71329,69.9021,64.61538
