Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.73,4.58,5.87,6.74,6.87,5.96,4.8,4.4,4.67,4.98,4.17,3.59
Water requirement (mm/day),1.492,1.832,2.348,2.696,2.748,2.384,1.92,1.76,1.868,1.992,1.668,1.436
Water requirement litres/day/ha ,14920,18320,23480,26960,27480,23840,19200,17600,18680,19920,16680,14360
Water requirement litres/palm/day in an ha,104.3357,128.1119,164.1958,188.5315,192.1678,166.7133,134.2657,123.0769,130.6294,139.3007,116.6434,100.4196
Water requirement litres/palm/day in an ha at 70% field capacity,73.03497,89.67832,114.9371,131.972,134.5175,116.6993,93.98601,86.15385,91.44056,97.51049,81.65035,70.29371
