Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.38,4.09,5.0622,5.64,5.9,5.13,4.15,4,4.02,3.82,3.42,3.16
Water requirement (mm/day),1.352,1.636,2.02488,2.256,2.36,2.052,1.66,1.6,1.608,1.528,1.368,1.264
Water requirement litres/day/ha ,13520,16360,20248.8,22560,23600,20520,16600,16000,16080,15280,13680,12640
Water requirement litres/palm/day in an ha,94.54545,114.4056,141.6,157.7622,165.035,143.4965,116.0839,111.8881,112.4476,106.8531,95.66434,88.39161
Water requirement litres/palm/day in an ha at 70% field capacity,66.18182,80.08392,99.12,110.4336,115.5245,100.4476,81.25874,78.32168,78.71329,74.7972,66.96503,61.87413
