Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.75,3.46,4.41,4.83,4.72,4.04,3.83,3.74,3.6,3.28,2.81,2.5
Water requirement (mm/day),1.1,1.384,1.764,1.932,1.888,1.616,1.532,1.496,1.44,1.312,1.124,1
Water requirement litres/day/ha ,11000,13840,17640,19320,18880,16160,15320,14960,14400,13120,11240,10000
Water requirement litres/palm/day in an ha,76.92308,96.78322,123.3566,135.1049,132.028,113.007,107.1329,104.6154,100.6993,91.74825,78.6014,69.93007
Water requirement litres/palm/day in an ha at 70% field capacity,53.84615,67.74825,86.34965,94.57343,92.41958,79.1049,74.99301,73.23077,70.48951,64.22378,55.02098,48.95105
