Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.41,4.02,4.633,4.85,5.0234,4.84,4.76,4.7,4.53,3.97,3.41,3.08
Water requirement (mm/day),1.364,1.608,1.8532,1.94,2.00936,1.936,1.904,1.88,1.812,1.588,1.364,1.232
Water requirement litres/day/ha ,13640,16080,18532,19400,20093.6,19360,19040,18800,18120,15880,13640,12320
Water requirement litres/palm/day in an ha,95.38462,112.4476,129.5944,135.6643,140.5147,135.3846,133.1469,131.4685,126.7133,111.049,95.38462,86.15385
Water requirement litres/palm/day in an ha at 70% field capacity,66.76923,78.71329,90.71608,94.96503,98.36028,94.76923,93.2028,92.02797,88.6993,77.73427,66.76923,60.30769
