Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.48,3.09,4,4.44,4.4,3.85,3.65,3.58,3.4,3.1,2.62,2.32
Water requirement (mm/day),0.992,1.236,1.6,1.776,1.76,1.54,1.46,1.432,1.36,1.24,1.048,0.928
Water requirement litres/day/ha ,9920,12360,16000,17760,17600,15400,14600,14320,13600,12400,10480,9280
Water requirement litres/palm/day in an ha,69.37063,86.43357,111.8881,124.1958,123.0769,107.6923,102.0979,100.1399,95.1049,86.71329,73.28671,64.8951
Water requirement litres/palm/day in an ha at 70% field capacity,48.55944,60.5035,78.32168,86.93706,86.15385,75.38462,71.46853,70.0979,66.57343,60.6993,51.3007,45.42657
