Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.39,4.11,5.06,5.66,5.99,5.44,4.53,4.29,4.22,3.88,3.44,3.18
Water requirement (mm/day),1.356,1.644,2.024,2.264,2.396,2.176,1.812,1.716,1.688,1.552,1.376,1.272
Water requirement litres/day/ha ,13560,16440,20240,22640,23960,21760,18120,17160,16880,15520,13760,12720
Water requirement litres/palm/day in an ha,94.82517483,114.965035,141.5384615,158.3216783,167.5524476,152.1678322,126.7132867,120,118.041958,108.5314685,96.22377622,88.95104895
Water requirement litres/palm/day in an ha at 70% field capacity,66.37762238,80.47552448,99.07692308,110.8251748,117.2867133,106.5174825,88.6993007,84,82.62937063,75.97202797,67.35664336,62.26573427
