Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.23,3.96,5.12,6.04,6.42,5.51,4.42,4.16,4.11,3.87,3.41,3.07
Water requirement (mm/day),1.292,1.584,2.048,2.416,2.568,2.204,1.768,1.664,1.644,1.548,1.364,1.228
Water requirement litres/day/ha ,12920,15840,20480,24160,25680,22040,17680,16640,16440,15480,13640,12280
Water requirement litres/palm/day in an ha,90.34965,110.7692,143.2168,168.951,179.5804,154.1259,123.6364,116.3636,114.965,108.2517,95.38462,85.87413
Water requirement litres/palm/day in an ha at 70% field capacity,63.24476,77.53846,100.2517,118.2657,125.7063,107.8881,86.54545,81.45455,80.47552,75.77622,66.76923,60.11189
