Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.21,4,5.33,6.33,6.67,5.71,4.57,4.23,4.12,3.88,3.4,3.04
Water requirement (mm/day),1.284,1.6,2.132,2.532,2.668,2.284,1.828,1.692,1.648,1.552,1.36,1.216
Water requirement litres/day/ha ,12840,16000,21320,25320,26680,22840,18280,16920,16480,15520,13600,12160
Water requirement litres/palm/day in an ha,89.79021,111.8881,149.0909,177.0629,186.5734,159.7203,127.8322,118.3217,115.2448,108.5315,95.1049,85.03497
Water requirement litres/palm/day in an ha at 70% field capacity,62.85315,78.32168,104.3636,123.9441,130.6014,111.8042,89.48252,82.82517,80.67133,75.97203,66.57343,59.52448
