Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.47,3.11,4.28,4.81,4.96,4.83,4.63,4.44,3.99,3.5,2.89,2.36
Water requirement (mm/day),0.988,1.244,1.712,1.924,1.984,1.932,1.852,1.776,1.596,1.4,1.156,0.944
Water requirement litres/day/ha ,9880,12440,17120,19240,19840,19320,18520,17760,15960,14000,11560,9440
Water requirement litres/palm/day in an ha,69.09091,86.99301,119.7203,134.5455,138.7413,135.1049,129.5105,124.1958,111.6084,97.9021,80.83916,66.01399
Water requirement litres/palm/day in an ha at 70% field capacity,48.36364,60.8951,83.8042,94.18182,97.11888,94.57343,90.65734,86.93706,78.12587,68.53147,56.58741,46.20979
