Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.48,4.34,5.69,6.79,7.3,6.05,4.48,4.08,4.17,4.18,3.68,3.27
Water requirement (mm/day),1.392,1.736,2.276,2.716,2.92,2.42,1.792,1.632,1.668,1.672,1.472,1.308
Water requirement litres/day/ha ,13920,17360,22760,27160,29200,24200,17920,16320,16680,16720,14720,13080
Water requirement litres/palm/day in an ha,97.34266,121.3986,159.1608,189.9301,204.1958,169.2308,125.3147,114.1259,116.6434,116.9231,102.9371,91.46853
Water requirement litres/palm/day in an ha at 70% field capacity,68.13986,84.97902,111.4126,132.951,142.9371,118.4615,87.72028,79.88811,81.65035,81.84615,72.05594,64.02797
