Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.65,4.54,5.88,6.87,7.31,6.05,4.53,4.16,4.28,4.28,3.77,3.42
Water requirement (mm/day),1.46,1.816,2.352,2.748,2.924,2.42,1.812,1.664,1.712,1.712,1.508,1.368
Water requirement litres/day/ha ,14600,18160,23520,27480,29240,24200,18120,16640,17120,17120,15080,13680
Water requirement litres/palm/day in an ha,102.0979,126.993,164.4755,192.1678,204.4755,169.2308,126.7133,116.3636,119.7203,119.7203,105.4545,95.66434
Water requirement litres/palm/day in an ha at 70% field capacity,71.46853,88.8951,115.1329,134.5175,143.1329,118.4615,88.6993,81.45455,83.8042,83.8042,73.81818,66.96503
