Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.94,3.71,4.72,5.08,5,4.31,4.06,4,3.79,3.47,3.05,2.71
Water requirement (mm/day),1.176,1.484,1.888,2.032,2,1.724,1.624,1.6,1.516,1.388,1.22,1.084
Water requirement litres/day/ha ,11760,14840,18880,20320,20000,17240,16240,16000,15160,13880,12200,10840
Water requirement litres/palm/day in an ha,82.23776,103.7762,132.028,142.0979,139.8601,120.5594,113.5664,111.8881,106.014,97.06294,85.31469,75.8042
Water requirement litres/palm/day in an ha at 70% field capacity,57.56643,72.64336,92.41958,99.46853,97.9021,84.39161,79.4965,78.32168,74.20979,67.94406,59.72028,53.06294
