Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.52,3.06,4.22,4.67,4.87,4.88,4.83,4.53,4.04,3.49,2.89,2.39
Water requirement (mm/day),1.008,1.224,1.688,1.868,1.948,1.952,1.932,1.812,1.616,1.396,1.156,0.956
Water requirement litres/day/ha ,10080,12240,16880,18680,19480,19520,19320,18120,16160,13960,11560,9560
Water requirement litres/palm/day in an ha,70.48951,85.59441,118.042,130.6294,136.2238,136.5035,135.1049,126.7133,113.007,97.62238,80.83916,66.85315
Water requirement litres/palm/day in an ha at 70% field capacity,49.34266,59.91608,82.62937,91.44056,95.35664,95.55245,94.57343,88.6993,79.1049,68.33566,56.58741,46.7972
