Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.88,4.7,5.885,6.63,6.48,5.61,4.6,4.25,4.56,4.95,4.25,3.73
Water requirement (mm/day),1.552,1.88,2.354,2.652,2.592,2.244,1.84,1.7,1.824,1.98,1.7,1.492
Water requirement litres/day/ha ,15520,18800,23540,26520,25920,22440,18400,17000,18240,19800,17000,14920
Water requirement litres/palm/day in an ha,108.5315,131.4685,164.6154,185.4545,181.2587,156.9231,128.6713,118.8811,127.5524,138.4615,118.8811,104.3357
Water requirement litres/palm/day in an ha at 70% field capacity,75.97203,92.02797,115.2308,129.8182,126.8811,109.8462,90.06993,83.21678,89.28671,96.92308,83.21678,73.03497
