Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,1.97,2.49,3.48,4.07,4.37,4.46,4.22,4.04,3.61,3.11,2.41,1.93
Water requirement (mm/day),0.788,0.996,1.392,1.628,1.748,1.784,1.688,1.616,1.444,1.244,0.964,0.772
Water requirement litres/day/ha ,7880,9960,13920,16280,17480,17840,16880,16160,14440,12440,9640,7720
Water requirement litres/palm/day in an ha,55.1049,69.65035,97.34266,113.8462,122.2378,124.7552,118.042,113.007,100.979,86.99301,67.41259,53.98601
Water requirement litres/palm/day in an ha at 70% field capacity,38.57343,48.75524,68.13986,79.69231,85.56643,87.32867,82.62937,79.1049,70.68531,60.8951,47.18881,37.79021
