Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.21,2.65,3.57,4.11,4.31,4.17,4.11,3.89,3.57,3.09,2.53,2.12
Water requirement (mm/day),0.884,1.06,1.428,1.644,1.724,1.668,1.644,1.556,1.428,1.236,1.012,0.848
Water requirement litres/day/ha ,8840,10600,14280,16440,17240,16680,16440,15560,14280,12360,10120,8480
Water requirement litres/palm/day in an ha,61.81818,74.12587,99.86014,114.965,120.5594,116.6434,114.965,108.8112,99.86014,86.43357,70.76923,59.3007
Water requirement litres/palm/day in an ha at 70% field capacity,43.27273,51.88811,69.9021,80.47552,84.39161,81.65035,80.47552,76.16783,69.9021,60.5035,49.53846,41.51049
