Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.94,4.48,5.03,5.24,5.0211,4.18,3.62,3.56,3.81,3.9,3.87,3.71
Water requirement (mm/day),1.576,1.792,2.012,2.096,2.00844,1.672,1.448,1.424,1.524,1.56,1.548,1.484
Water requirement litres/day/ha ,15760,17920,20120,20960,20084.4,16720,14480,14240,15240,15600,15480,14840
Water requirement litres/palm/day in an ha,110.2098,125.3147,140.6993,146.5734,140.4503,116.9231,101.2587,99.58042,106.5734,109.0909,108.2517,103.7762
Water requirement litres/palm/day in an ha at 70% field capacity,77.14685,87.72028,98.48951,102.6014,98.31524,81.84615,70.88112,69.70629,74.6014,76.36364,75.77622,72.64336
