Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.23,2.7,3.61,4.28,4.52,4.39,4.29,4.1,3.73,3.2,2.61,2.18
Water requirement (mm/day),0.892,1.08,1.444,1.712,1.808,1.756,1.716,1.64,1.492,1.28,1.044,0.872
Water requirement litres/day/ha ,8920,10800,14440,17120,18080,17560,17160,16400,14920,12800,10440,8720
Water requirement litres/palm/day in an ha,62.37762,75.52448,100.979,119.7203,126.4336,122.7972,120,114.6853,104.3357,89.51049,73.00699,60.97902
Water requirement litres/palm/day in an ha at 70% field capacity,43.66434,52.86713,70.68531,83.8042,88.5035,85.95804,84,80.27972,73.03497,62.65734,51.1049,42.68531
