Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.71,4.41,5.1629,5.46,5.76,5.48,5.28,5.16,4.91,4.19,3.57,3.32
Water requirement (mm/day),1.484,1.764,2.06516,2.184,2.304,2.192,2.112,2.064,1.964,1.676,1.428,1.328
Water requirement litres/day/ha ,14840,17640,20651.6,21840,23040,21920,21120,20640,19640,16760,14280,13280
Water requirement litres/palm/day in an ha,103.7762,123.3566,144.4168,152.7273,161.1189,153.2867,147.6923,144.3357,137.3427,117.2028,99.86014,92.86713
Water requirement litres/palm/day in an ha at 70% field capacity,72.64336,86.34965,101.0917,106.9091,112.7832,107.3007,103.3846,101.035,96.13986,82.04196,69.9021,65.00699
