Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,1.82,2.31,3.292,4.01,4.45,4.65,4.56,4.31,3.75,3.12,2.39,1.84
Water requirement (mm/day),0.728,0.924,1.3168,1.604,1.78,1.86,1.824,1.724,1.5,1.248,0.956,0.736
Water requirement litres/day/ha ,7280,9240,13168,16040,17800,18600,18240,17240,15000,12480,9560,7360
Water requirement litres/palm/day in an ha,50.90909,64.61538,92.08392,112.1678,124.4755,130.0699,127.5524,120.5594,104.8951,87.27273,66.85315,51.46853
Water requirement litres/palm/day in an ha at 70% field capacity,35.63636,45.23077,64.45874,78.51748,87.13287,91.04895,89.28671,84.39161,73.42657,61.09091,46.7972,36.02797
