Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.49,4.23,5.2721,5.9,6.227,5.34,4.28,4.07,4.09,3.9,3.5,3.24
Water requirement (mm/day),1.396,1.692,2.10884,2.36,2.4908,2.136,1.712,1.628,1.636,1.56,1.4,1.296
Water requirement litres/day/ha ,13960,16920,21088.4,23600,24908,21360,17120,16280,16360,15600,14000,12960
Water requirement litres/palm/day in an ha,97.62238,118.3217,147.4713,165.035,174.1818,149.3706,119.7203,113.8462,114.4056,109.0909,97.9021,90.62937
Water requirement litres/palm/day in an ha at 70% field capacity,68.33566,82.82517,103.2299,115.5245,121.9273,104.5594,83.8042,79.69231,80.08392,76.36364,68.53147,63.44056
