Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 14:35:14,33,571
Ammonium Sulphate Nitrate,70,1231
MOP,30,533
Magnesium Sulphate,7,125
Borax,1,25
