Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 17:17:17,67,1176
Ammonium Sulphate,54,952
MOP,19,333
Magnesium Sulphate,7,125
Borax,1,25
