Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 10:26:26,44,769
Ammonium Sulphate,88,1538
MOP,19,333
Magnesium Sulphate,7,125
Borax,1,25
