Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.25,4.1,5.56,6.85,7.49,6.33,4.58,4.09,4.17,4.2,3.59,3.09
Water requirement (mm/day),2.275,2.87,3.892,4.795,5.243,4.431,3.206,2.863,2.919,2.94,2.513,2.163
Water requirement litres/day/ha ,22750,28700,38920,47950,52430,44310,32060,28630,29190,29400,25130,21630
Water requirement litres/palm/day in an ha,159.0909,200.6993,272.1678,335.3147,366.6434,309.8601,224.1958,200.2098,204.1259,205.5944,175.7343,151.2587
Water requirement litres/palm/day in an ha at 70% field capacity,111.3636,140.4895,190.5175,234.7203,256.6503,216.9021,156.9371,140.1469,142.8881,143.9161,123.014,105.8811
