Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.27,4.1,5.54,6.84,7.38,6.21,4.66,4.24,4.22,4.05,3.52,3.11
Water requirement (mm/day),2.289,2.87,3.878,4.788,5.166,4.347,3.262,2.968,2.954,2.835,2.464,2.177
Water requirement litres/day/ha ,22890,28700,38780,47880,51660,43470,32620,29680,29540,28350,24640,21770
Water requirement litres/palm/day in an ha,160.0699301,200.6993007,271.1888112,334.8251748,361.2587413,303.986014,228.1118881,207.5524476,206.5734266,198.2517483,172.3076923,152.2377622
Water requirement litres/palm/day in an ha at 70% field capacity,112.048951,140.4895105,189.8321678,234.3776224,252.8811189,212.7902098,159.6783217,145.2867133,144.6013986,138.7762238,120.6153846,106.5664336
