Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.68,4.53,5.71,6.54,6.89,5.98,4.91,4.56,4.49,4.28,3.73,3.44
Water requirement (mm/day),2.576,3.171,3.997,4.578,4.823,4.186,3.437,3.192,3.143,2.996,2.611,2.408
Water requirement litres/day/ha ,25760,31710,39970,45780,48230,41860,34370,31920,31430,29960,26110,24080
Water requirement litres/palm/day in an ha,180.1399,221.7483,279.5105,320.1399,337.2727,292.7273,240.3497,223.2168,219.7902,209.5105,182.5874,168.3916
Water requirement litres/palm/day in an ha at 70% field capacity,126.0979,155.2238,195.6573,224.0979,236.0909,204.9091,168.2448,156.2517,153.8531,146.6573,127.8112,117.8741
