Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.45,4.29,5.63,6.73,7.25,6.03,4.49,4.08,4.14,4.14,3.65,3.23
Water requirement (mm/day),2.415,3.003,3.941,4.711,5.075,4.221,3.143,2.856,2.898,2.898,2.555,2.261
Water requirement litres/day/ha ,24150,30030,39410,47110,50750,42210,31430,28560,28980,28980,25550,22610
Water requirement litres/palm/day in an ha,168.8811,210,275.5944,329.4406,354.8951,295.1748,219.7902,199.7203,202.6573,202.6573,178.6713,158.1119
Water requirement litres/palm/day in an ha at 70% field capacity,118.2168,147,192.9161,230.6084,248.4266,206.6224,153.8531,139.8042,141.8601,141.8601,125.0699,110.6783
