Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.35,2.8,3.77,4.31,4.53,4.56,4.48,4.23,3.79,3.28,2.72,2.27
Water requirement (mm/day),1.645,1.96,2.639,3.017,3.171,3.192,3.136,2.961,2.653,2.296,1.904,1.589
Water requirement litres/day/ha ,16450,19600,26390,30170,31710,31920,31360,29610,26530,22960,19040,15890
Water requirement litres/palm/day in an ha,115.035,137.0629,184.5455,210.979,221.7483,223.2168,219.3007,207.0629,185.5245,160.5594,133.1469,111.1189
Water requirement litres/palm/day in an ha at 70% field capacity,80.52448,95.94406,129.1818,147.6853,155.2238,156.2517,153.5105,144.9441,129.8671,112.3916,93.2028,77.78322
