Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.76,4.22,4.6,4.64,4.38,3.96,3.92,3.97,4.01,3.8,3.49,3.44
Water requirement (mm/day),2.632,2.954,3.22,3.248,3.066,2.772,2.744,2.779,2.807,2.66,2.443,2.408
Water requirement litres/day/ha ,26320,29540,32200,32480,30660,27720,27440,27790,28070,26600,24430,24080
Water requirement litres/palm/day in an ha,184.0559,206.5734,225.1748,227.1329,214.4056,193.8462,191.8881,194.3357,196.2937,186.014,170.8392,168.3916
Water requirement litres/palm/day in an ha at 70% field capacity,128.8392,144.6014,157.6224,158.993,150.0839,135.6923,134.3217,136.035,137.4056,130.2098,119.5874,117.8741
