Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.63,4.41,5.54,6.27,6.3,5.47,4.48,4.13,4.42,4.76,4.06,3.51
Water requirement (mm/day),2.541,3.087,3.878,4.389,4.41,3.829,3.136,2.891,3.094,3.332,2.842,2.457
Water requirement litres/day/ha ,25410,30870,38780,43890,44100,38290,31360,28910,30940,33320,28420,24570
Water requirement litres/palm/day in an ha,177.6923,215.8741,271.1888,306.9231,308.3916,267.7622,219.3007,202.1678,216.3636,233.007,198.7413,171.8182
Water requirement litres/palm/day in an ha at 70% field capacity,124.3846,151.1119,189.8322,214.8462,215.8741,187.4336,153.5105,141.5175,151.4545,163.1049,139.1189,120.2727
