Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.92,4.84,5.99,6.7,6.93,5.89,5.12,4.91,4.76,4.35,3.81,3.58
Water requirement (mm/day),2.744,3.388,4.193,4.69,4.851,4.123,3.584,3.437,3.332,3.045,2.667,2.506
Water requirement litres/day/ha ,27440,33880,41930,46900,48510,41230,35840,34370,33320,30450,26670,25060
Water requirement litres/palm/day in an ha,191.8881,236.9231,293.2168,327.972,339.2308,288.3217,250.6294,240.3497,233.007,212.9371,186.5035,175.2448
Water requirement litres/palm/day in an ha at 70% field capacity,134.3217,165.8462,205.2517,229.5804,237.4615,201.8252,175.4406,168.2448,163.1049,149.0559,130.5524,122.6713
