Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.22,2.81,3.9,4.41,4.63,4.6,4.38,4.19,3.76,3.26,2.64,2.14
Water requirement (mm/day),1.554,1.967,2.73,3.087,3.241,3.22,3.066,2.933,2.632,2.282,1.848,1.498
Water requirement litres/day/ha ,15540,19670,27300,30870,32410,32200,30660,29330,26320,22820,18480,14980
Water requirement litres/palm/day in an ha,108.6713,137.5524,190.9091,215.8741,226.6434,225.1748,214.4056,205.1049,184.0559,159.5804,129.2308,104.7552
Water requirement litres/palm/day in an ha at 70% field capacity,76.06993,96.28671,133.6364,151.1119,158.6503,157.6224,150.0839,143.5734,128.8392,111.7063,90.46154,73.32867
