Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.43,3.01,3.96,4.46,4.44,3.95,3.83,3.7,3.49,3.13,2.63,2.27
Water requirement (mm/day),1.701,2.107,2.772,3.122,3.108,2.765,2.681,2.59,2.443,2.191,1.841,1.589
Water requirement litres/day/ha ,17010,21070,27720,31220,31080,27650,26810,25900,24430,21910,18410,15890
Water requirement litres/palm/day in an ha,118.951049,147.3426573,193.8461538,218.3216783,217.3426573,193.3566434,187.4825175,181.1188811,170.8391608,153.2167832,128.7412587,111.1188811
Water requirement litres/palm/day in an ha at 70% field capacity,83.26573427,103.1398601,135.6923077,152.8251748,152.1398601,135.3496503,131.2377622,126.7832168,119.5874126,107.2517483,90.11888112,77.78321678
