Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.35,4.19,5.6,6.84,7.43,6.26,4.59,4.14,4.17,4.17,3.63,3.17
Water requirement (mm/day),2.345,2.933,3.92,4.788,5.201,4.382,3.213,2.898,2.919,2.919,2.541,2.219
Water requirement litres/day/ha ,23450,29330,39200,47880,52010,43820,32130,28980,29190,29190,25410,22190
Water requirement litres/palm/day in an ha,163.986,205.1049,274.1259,334.8252,363.7063,306.4336,224.6853,202.6573,204.1259,204.1259,177.6923,155.1748
Water requirement litres/palm/day in an ha at 70% field capacity,114.7902,143.5734,191.8881,234.3776,254.5944,214.5035,157.2797,141.8601,142.8881,142.8881,124.3846,108.6224
