Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.88,4.31,4.7,4.76,4.51,4.03,3.94,3.96,4.02,3.88,3.61,3.56
Water requirement (mm/day),2.716,3.017,3.29,3.332,3.157,2.821,2.758,2.772,2.814,2.716,2.527,2.492
Water requirement litres/day/ha ,27160,30170,32900,33320,31570,28210,27580,27720,28140,27160,25270,24920
Water requirement litres/palm/day in an ha,189.9300699,210.979021,230.0699301,233.006993,220.7692308,197.2727273,192.8671329,193.8461538,196.7832168,189.9300699,176.7132867,174.2657343
Water requirement litres/palm/day in an ha at 70% field capacity,132.951049,147.6853147,161.048951,163.1048951,154.5384615,138.0909091,135.006993,135.6923077,137.7482517,132.951049,123.6993007,121.986014
