Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.51,4.11,4.7,4.86,4.83,4.56,4.5,4.48,4.39,3.95,3.45,3.16
Water requirement (mm/day),2.457,2.877,3.29,3.402,3.381,3.192,3.15,3.136,3.073,2.765,2.415,2.212
Water requirement litres/day/ha ,24570,28770,32900,34020,33810,31920,31500,31360,30730,27650,24150,22120
Water requirement litres/palm/day in an ha,171.8182,201.1888,230.0699,237.9021,236.4336,223.2168,220.2797,219.3007,214.8951,193.3566,168.8811,154.6853
Water requirement litres/palm/day in an ha at 70% field capacity,120.2727,140.8322,161.049,166.5315,165.5035,156.2517,154.1958,153.5105,150.4266,135.3497,118.2168,108.2797
