Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.54,4.23,5.24,5.8,5.78,5.1,4.29,3.99,4.27,4.66,4.01,3.46
Water requirement (mm/day),2.478,2.961,3.668,4.06,4.046,3.57,3.003,2.793,2.989,3.262,2.807,2.422
Water requirement litres/day/ha ,24780,29610,36680,40600,40460,35700,30030,27930,29890,32620,28070,24220
Water requirement litres/palm/day in an ha,173.2867,207.0629,256.5035,283.9161,282.9371,249.6503,210,195.3147,209.021,228.1119,196.2937,169.3706
Water requirement litres/palm/day in an ha at 70% field capacity,121.3007,144.9441,179.5524,198.7413,198.0559,174.7552,147,136.7203,146.3147,159.6783,137.4056,118.5594
