Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.27,2.77,3.72,4.44,4.75,4.77,4.67,4.44,3.95,3.34,2.71,2.24
Water requirement (mm/day),1.589,1.939,2.604,3.108,3.325,3.339,3.269,3.108,2.765,2.338,1.897,1.568
Water requirement litres/day/ha ,15890,19390,26040,31080,33250,33390,32690,31080,27650,23380,18970,15680
Water requirement litres/palm/day in an ha,111.1189,135.5944,182.0979,217.3427,232.5175,233.4965,228.6014,217.3427,193.3566,163.4965,132.6573,109.6503
Water requirement litres/palm/day in an ha at 70% field capacity,77.78322,94.91608,127.4685,152.1399,162.7622,163.4476,160.021,152.1399,135.3497,114.4476,92.86014,76.75524
