Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.84,3.56,4.63,5,4.92,4.32,4.16,4.1,3.8,3.5,3.05,2.66
Water requirement (mm/day),1.988,2.492,3.241,3.5,3.444,3.024,2.912,2.87,2.66,2.45,2.135,1.862
Water requirement litres/day/ha ,19880,24920,32410,35000,34440,30240,29120,28700,26600,24500,21350,18620
Water requirement litres/palm/day in an ha,139.021,174.2657,226.6434,244.7552,240.8392,211.4685,203.6364,200.6993,186.014,171.3287,149.3007,130.2098
Water requirement litres/palm/day in an ha at 70% field capacity,97.31469,121.986,158.6503,171.3287,168.5874,148.028,142.5455,140.4895,130.2098,119.9301,104.5105,91.14685
