Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.45,3.82,4.14,4.15,3.86,3.5,3.48,3.53,3.59,3.43,3.19,3.14
Water requirement (mm/day),2.415,2.674,2.898,2.905,2.702,2.45,2.436,2.471,2.513,2.401,2.233,2.198
Water requirement litres/day/ha ,24150,26740,28980,29050,27020,24500,24360,24710,25130,24010,22330,21980
Water requirement litres/palm/day in an ha,168.8811,186.993,202.6573,203.1469,188.951,171.3287,170.3497,172.7972,175.7343,167.9021,156.1538,153.7063
Water requirement litres/palm/day in an ha at 70% field capacity,118.2168,130.8951,141.8601,142.2028,132.2657,119.9301,119.2448,120.958,123.014,117.5315,109.3077,107.5944
