Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.8,4.55,5.37,5.72,5.93,5.46,5.24,5.13,4.9,4.21,3.61,3.37
Water requirement (mm/day),2.66,3.185,3.759,4.004,4.151,3.822,3.668,3.591,3.43,2.947,2.527,2.359
Water requirement litres/day/ha ,26600,31850,37590,40040,41510,38220,36680,35910,34300,29470,25270,23590
Water requirement litres/palm/day in an ha,186.014,222.7273,262.8671,280,290.2797,267.2727,256.5035,251.1189,239.8601,206.0839,176.7133,164.965
Water requirement litres/palm/day in an ha at 70% field capacity,130.2098,155.9091,184.007,196,203.1958,187.0909,179.5524,175.7832,167.9021,144.2587,123.6993,115.4755
