Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.04,3.79,4.93,5.34,5.14,4.5,4.29,4.23,3.92,3.69,3.25,2.88
Water requirement (mm/day),2.128,2.653,3.451,3.738,3.598,3.15,3.003,2.961,2.744,2.583,2.275,2.016
Water requirement litres/day/ha ,21280,26530,34510,37380,35980,31500,30030,29610,27440,25830,22750,20160
Water requirement litres/palm/day in an ha,148.8112,185.5245,241.3287,261.3986,251.6084,220.2797,210,207.0629,191.8881,180.6294,159.0909,140.979
Water requirement litres/palm/day in an ha at 70% field capacity,104.1678,129.8671,168.9301,182.979,176.1259,154.1958,147,144.9441,134.3217,126.4406,111.3636,98.68531
