Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.74,4.59,5.72,6.44,6.75,5.88,5.02,4.72,4.59,4.25,3.7,3.45
Water requirement (mm/day),2.618,3.213,4.004,4.508,4.725,4.116,3.514,3.304,3.213,2.975,2.59,2.415
Water requirement litres/day/ha ,26180,32130,40040,45080,47250,41160,35140,33040,32130,29750,25900,24150
Water requirement litres/palm/day in an ha,183.0769,224.6853,280,315.2448,330.4196,287.8322,245.7343,231.049,224.6853,208.042,181.1189,168.8811
Water requirement litres/palm/day in an ha at 70% field capacity,128.1538,157.2797,196,220.6713,231.2937,201.4825,172.014,161.7343,157.2797,145.6294,126.7832,118.2168
