Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.26,4.02,5.19,5.98,6.2,5.46,4.51,4.2,4.06,3.88,3.46,3.11
Water requirement (mm/day),2.282,2.814,3.633,4.186,4.34,3.822,3.157,2.94,2.842,2.716,2.422,2.177
Water requirement litres/day/ha ,22820,28140,36330,41860,43400,38220,31570,29400,28420,27160,24220,21770
Water requirement litres/palm/day in an ha,159.5804196,196.7832168,254.0559441,292.7272727,303.4965035,267.2727273,220.7692308,205.5944056,198.7412587,189.9300699,169.3706294,152.2377622
Water requirement litres/palm/day in an ha at 70% field capacity,111.7062937,137.7482517,177.8391608,204.9090909,212.4475524,187.0909091,154.5384615,143.9160839,139.1188811,132.951049,118.5594406,106.5664336
