Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.43,4.13,5.05,5.59,6.17,5.79,4.91,4.58,4.39,3.97,3.48,3.24
Water requirement (mm/day),2.401,2.891,3.535,3.913,4.319,4.053,3.437,3.206,3.073,2.779,2.436,2.268
Water requirement litres/day/ha ,24010,28910,35350,39130,43190,40530,34370,32060,30730,27790,24360,22680
Water requirement litres/palm/day in an ha,167.9021,202.1678,247.2028,273.6364,302.028,283.4266,240.3497,224.1958,214.8951,194.3357,170.3497,158.6014
Water requirement litres/palm/day in an ha at 70% field capacity,117.5315,141.5175,173.042,191.5455,211.4196,198.3986,168.2448,156.9371,150.4266,136.035,119.2448,111.021
