Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.56,4.4,5.71,6.66,7.08,6.11,4.95,4.55,4.75,4.93,4.06,3.44
Water requirement (mm/day),2.492,3.08,3.997,4.662,4.956,4.277,3.465,3.185,3.325,3.451,2.842,2.408
Water requirement litres/day/ha ,24920,30800,39970,46620,49560,42770,34650,31850,33250,34510,28420,24080
Water requirement litres/palm/day in an ha,174.2657,215.3846,279.5105,326.014,346.5734,299.0909,242.3077,222.7273,232.5175,241.3287,198.7413,168.3916
Water requirement litres/palm/day in an ha at 70% field capacity,121.986,150.7692,195.6573,228.2098,242.6014,209.3636,169.6154,155.9091,162.7622,168.9301,139.1189,117.8741
