Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.94,3.71,4.72,5.08,5,4.31,4.06,4,3.79,3.47,3.05,2.71
Water requirement (mm/day),2.058,2.597,3.304,3.556,3.5,3.017,2.842,2.8,2.653,2.429,2.135,1.897
Water requirement litres/day/ha ,20580,25970,33040,35560,35000,30170,28420,28000,26530,24290,21350,18970
Water requirement litres/palm/day in an ha,143.9160839,181.6083916,231.048951,248.6713287,244.7552448,210.979021,198.7412587,195.8041958,185.5244755,169.8601399,149.3006993,132.6573427
Water requirement litres/palm/day in an ha at 70% field capacity,100.7412587,127.1258741,161.7342657,174.0699301,171.3286713,147.6853147,139.1188811,137.0629371,129.8671329,118.9020979,104.5104895,92.86013986
