Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.88,3.62,4.69,5.08,4.97,4.32,4.14,4.09,3.81,3.51,3.08,2.7
Water requirement (mm/day),2.016,2.534,3.283,3.556,3.479,3.024,2.898,2.863,2.667,2.457,2.156,1.89
Water requirement litres/day/ha ,20160,25340,32830,35560,34790,30240,28980,28630,26670,24570,21560,18900
Water requirement litres/palm/day in an ha,140.979,177.2028,229.5804,248.6713,243.2867,211.4685,202.6573,200.2098,186.5035,171.8182,150.7692,132.1678
Water requirement litres/palm/day in an ha at 70% field capacity,98.68531,124.042,160.7063,174.0699,170.3007,148.028,141.8601,140.1469,130.5524,120.2727,105.5385,92.51748
