Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,3.41,4.05,4.64,4.86,5.08,4.91,4.82,4.75,4.58,4.02,3.4,3.08
Water requirement (mm/day),2.387,2.835,3.248,3.402,3.556,3.437,3.374,3.325,3.206,2.814,2.38,2.156
Water requirement litres/day/ha ,23870,28350,32480,34020,35560,34370,33740,33250,32060,28140,23800,21560
Water requirement litres/palm/day in an ha,166.9231,198.2517,227.1329,237.9021,248.6713,240.3497,235.9441,232.5175,224.1958,196.7832,166.4336,150.7692
Water requirement litres/palm/day in an ha at 70% field capacity,116.8462,138.7762,158.993,166.5315,174.0699,168.2448,165.1608,162.7622,156.9371,137.7483,116.5035,105.5385
