Property,January,February,March,April,May,June,July,August,September,October,November,December
ET,2.14,2.87,4.25,6.2,7.58,7.54,5.87,5,4.87,4.26,3.01,2.17
Water requirement (mm/day),1.498,2.009,2.975,4.34,5.306,5.278,4.109,3.5,3.409,2.982,2.107,1.519
Water requirement litres/day/ha ,14980,20090,29750,43400,53060,52780,41090,35000,34090,29820,21070,15190
Water requirement litres/palm/day in an ha,104.7552,140.4895,208.042,303.4965,371.049,369.0909,287.3427,244.7552,238.3916,208.5315,147.3427,106.2238
Water requirement litres/palm/day in an ha at 70% field capacity,73.32867,98.34266,145.6294,212.4476,259.7343,258.3636,201.1399,171.3287,166.8741,145.972,103.1399,74.35664
