Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 24:24:0,134,2363
Ammonium Sulphate,109,1905
MOP,38,667
Magnesium Sulphate,14,250
Borax,3,50
