Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
SSP,95,1667
Ammonium Sulphate,88,1538
MOP,76,1333
Magnesium Sulphate,14,250
Borax,3,50
