Type of Fertilizer,Quantity Per Acre (in Kgs) Per Year,Quantity Per Palm (in grams) Per Year
Complex Fertilizer 28:28:0,81,1429
Ammonium Sulphate Nitrate,88,1538
MOP,76,1333
Magnesium Sulphate,14,250
Borax,3,50
